timestamp,value,metric_name,container,instance,job,namespace,pod,reason,uid
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qr88b,ContainerCreating,f944456d-f567-435e-aa6c-7490f49a5f93
2025-06-25 08:56:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qtjjx,CrashLoopBackOff,c54277b2-9685-4942-bad5-e9281b201460
2025-06-25 10:58:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qtjjx,CrashLoopBackOff,c54277b2-9685-4942-bad5-e9281b201460
2025-06-25 08:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-sgdtn,ContainerCreating,f8b35d20-b2b7-4d47-bb04-3c1d6b820511
2025-06-25 08:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-ssq96,ContainerCreating,3aeacc32-91ef-42c4-b9b9-4e393dd627e1
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-t9rvm,ContainerCreating,e96c048c-ed26-4561-86ce-06be5abc2b31
2025-06-26 07:52:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-tvrkq,CrashLoopBackOff,7799b233-1d30-4d88-baa0-b5000a9a1780
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v2bgl,ContainerCreating,28164b5d-2b97-4058-b107-f3feb03bfa6d
2025-06-25 17:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v6gzc,ContainerCreating,e001f9ea-c2ac-427c-8943-3f28b91c8c57
2025-06-26 04:17:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:18:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:19:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:20:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:21:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:24:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:25:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:26:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-26 04:28:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-v9smp,CrashLoopBackOff,f231d0c5-2b1f-472f-a926-70a8e55abd30
2025-06-25 18:54:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-vr78v,CrashLoopBackOff,a58a310e-ccf2-4efe-857a-981a255e0159
2025-06-25 07:46:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-wgrxw,CrashLoopBackOff,cbd656d6-a645-4169-a3c1-23339f014bf3
2025-06-25 13:47:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-wjbxp,CrashLoopBackOff,c6386620-96bd-49ca-9675-88e9d6d8261a
2025-06-25 19:21:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-wpkrl,CrashLoopBackOff,5d402073-ce7f-4c71-b90b-6801f6a4b31a
2025-06-26 08:24:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-wxc6g,CrashLoopBackOff,f0b6d535-fd00-4450-9e6d-a76510f6311d
2025-06-25 14:53:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-xlj6c,CrashLoopBackOff,eb98b155-5e84-456f-a059-35e4fd1b39c4
