timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-12 05:56:28,18.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:57:28,24.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:58:28,23.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:59:28,24.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:00:28,20.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:01:28,21.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:02:28,25.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:03:28,22.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:04:28,19.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:05:28,25.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:06:28,20.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:07:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:08:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:09:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:10:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:11:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:12:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 06:13:28,12.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:30:28,0.01,cpu,consumer-hpa-baseline,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,average,nimbusguard
2025-07-12 05:31:28,0.013,cpu,consumer-hpa-baseline,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,average,nimbusguard
2025-07-12 05:32:28,0.5,cpu,consumer-hpa-baseline,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,average,nimbusguard
2025-07-12 05:33:28,0.437,cpu,consumer-hpa-baseline,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,average,nimbusguard
