timestamp,value,metric_name,instance,job,namespace,owner_is_controller,owner_kind,owner_name,replicaset
2025-07-12 05:56:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:57:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:58:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:59:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:00:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:01:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:02:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:03:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:04:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:05:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:06:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:07:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:08:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:09:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:10:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:11:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:12:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 06:13:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:29:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:30:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:31:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:32:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:33:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:34:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:35:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:36:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:37:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
