timestamp,value,metric_name,instance,job,namespace,pod,uid
2025-07-05 22:52:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:53:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:05:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:06:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:07:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:08:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:09:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:37:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:38:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 23:39:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
